Notes,Paper_ID,Study_Area,Area_Code,Center_Long,Center_Lat,Coor_Given,Study_Start,Study_End,Area ,Study_Region,Study_Country,Eco_Code_Olson,Eco_Num_Olson,Realm_Olson,Biome_Olson,Study_Code,Suprarealm_OneEarth,Biome_Detal,Biome_Detal_Name,Bioregion_Olson,Ecoregion_Olson,Ecoregion_OneEarth,Ecoregion_OneEarth2,Realm_OneEarth,Subrealm_OneEarth,Bioregion_OneEarth,Protected_Area,Avg_Temp_Ann,Avg_Temp_Min,Avg_Temp_Max,Avg_Precipitation,Avg_Rainfall,Avg_Snow,Snow_Period,Elev_Min,Elev_Max,Elev_Range,Range_Wolf_Dens,Avg_Wolf_Dens,n_Wolves,n_Packs,Range_Pack_Size,Avg_Pack_Size,Wolf_Notes,Livestock_Notes,Wild_Ung_Avail_n,Wild_Ung_Avail_Name,Beaver_Avail,Paper_Pred_Tot_n,Pred_Larger_n,Pred_Larger_Name,Pred_Smaller_n,Pred_Smaller_Name,OE_Pred_Tot_n,OE_Pred_Larger_n,OE_Pred_Larger_Name,OE_Pred_Smaller_n,OE_Pred_Smaller_Name,HFI,Productivity
"Anatolian wild sheep at low numbers (40-80) despite frequent re-stocking of sheep, possibly due to wolf predation. Brown bear and lynx only occur sporatically. Wild boar are hunted for population control (minimize agricultural damage), not hunted for human consumption (religious reasons). Carcasses are either collected for hunting dog food  or left for scavengers. Ungulate pops (Except wild boar) in region declining over past two centuries due to hunting and poaching, but now beginning to recover",Mengüllüoğlu 2019,Sarıyar Wildlife Protection Area (SWPA),SWP,31.52658,40.05196,"31.300-31.600 Long, 40.000 Lat",2015,2017,80,Anatolia,Turkey,PA0410,10,PA,4,MEU19SWP,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80410,652,652,WEE,BSF,PA17,,13.1,NR,NR,NR,NR,max 25cm,only seven days,460,850,460-850,,,,1,3-4,,"Pack is "" composed of two adult and one to two sub-adult wolves per year"". Apex predator in turkey, has never been extirpated in anatolia. 6000-8000 in Anatolia","Not available in winter but otherwise highly abundant, free grazing and corrals. Heavy over grazing on eastern half in non-winter. West half is supposed to be protected and it is illegal to graze livestock there but it still happens.",3,"Anatolian wild sheep (Ovis gmelinii), Red deer (Cervus elaphus), Wild boar (Sus scrofa)",No,5,1,Brown bear (Ursus arctos),4,"Golden Jackal (Canis aureus), Eurasian lynx (Lynx lynx), Red fox (Vulpes vulpes), Jungle cat (Felis chaus)",,,,,,,
"no livestock flocks grazed there in winter (time of scat collection). Lynx there are lagomorph specialists. Wild boar are hunted for population control (minimize agricultural damage), not hunted for human consumption (religious reasons). Carcasses are either collected for hunting dog food  or left for scavengers. Ungulate pops (Except wild boar) in region declining over past two centuries due to hunting and poaching but now beginning to recover",Mengüllüoğlu 2019,Nallıhan Mountains(NM),NLM,31.53120,40.25653,"31.300-31.600 Long, 40.100-40.300 Lat",2014,2017,400,Anatolia,Turkey,PA0515,15,PA,5,MEU19NLM,PA,5,Temperate Conifer Forests,PA05,80515,703,703,WEE,BSF,PA17,,9.6,NR,NR,543,NR,stays for more than a month at elevatiosn >1000,,500,1500,500-1500,,,,several,4-8,,"Estimated wolf group size per camera capture as 3.4 ind (1-8 adults and subadults together). Pack sizes ""determined to be a minimum of four to eight wolves per four encountered packs"". ""Apex predator"" in turkey, has never been extirpated in anatolia. 6000-8000 in Anatolia","Not available in winter but otherwise highly abundant, free grazing and corrals. Over-grazing is not as extreme as the other SA.",2,"Red deer (Cervus elaphus), Wild boar (Sus scrofa)",No,5,1,Brown bear (Ursus arctos),4,"Golden Jackal (Canis aureus), Eurasian lynx (Lynx lynx), Red fox (Vulpes vulpes), Jungle cat (Felis chaus)",,,,,,,
"""Area A"". ""low wild and domestic ungulate availability"". mixed woods = 24% of the whole area, beech woods = 32%, conifer reafforestation = 3%, pastures= 26% and scrub = 8%. ""Cultivated fields were restricted to the immediate areas of the sparse small villages"" ""In all study areas the human population has decreased by 80% over the last thirty years. The climate of the three study areas was submediterranean with rainfall concentrated in spring and autumn, mild winters and reduced snowfall."" ""The climate of tthe three study areas was submediterranean with rainfall concentrated in spring and autumn, mild winters and reduced snowfall.""",Meriggi 1996,Western Northern Apennines,WNA,9.19822,44.65559,NR,1987,1992,500,Western Northern Apennines,Italy,PA0401,1,PA,4,MEI96WNA,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80401,644,644,WEE,MED,PA19,"""Cultivated fields were restricted to the immediate areas of the sparse small villages""",NR,NR,NR,NR,NR,NR,NR,800,1700,800-1700,,,15,3,,NR,Species should still be considered endangered due to population fragmentation and low genetic diversity. 15 wolves across 3 packs,"low domestic ungulate availability. Horses, cattle, sheeps and goat",3,"Wild boar, roe deer, fallow deer",No,NR,0,NA,NR,NR,,,,,,,
"""Area B"". ""high availability of livestock"". Woods =64% (mostly beech and chestnut), pastures=14%, scrub=19%, and cultivated fields=19%. ""In all study areas the human population has decreased by 80% over the last thirty years. The climate of the three study areas was submediterranean with rainfall concentrated in spring and autumn, mild winters and reduced snowfall."" ""The climate of tthe three study areas was submediterranean with rainfall concentrated in spring and autumn, mild winters and reduced snowfall.""",Meriggi 1996,Central Northern Apennines,CNA,9.76184,44.43044,NR,1992,1992,200,Central Northern Apennines,Italy,PA0401,1,PA,4,MEI96CNA,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80401,644,644,WEE,MED,PA19,,NR,NR,NR,NR,NR,NR,NR,500,1650,500-1650,,,5,unclear if any,,NR,"Species should still be considered endangered due to population fragmentation and low genetic diversity. ""About five wolves were recorded and no evidence of reproduction was found.""","""high availability of livestock"". Horse, cattle, sheep and goat",2,"Wild boar, fallow deer",No,NR,0,NA,NR,NR,,,,,,,
"""Area C"". ""high availability of wild ungulates"". Forest=81% (mixed+58%, beech=26%, conifer=16%) pasture=14%, scrub=3%, cultivated areas=2%. ""In all study areas the human population has decreased by 80% over the last thirty years. The climate of the three study areas was submediterranean with rainfall concentrated in spring and autumn, mild winters and reduced snowfall."" ""The climate of tthe three study areas was submediterranean with rainfall concentrated in spring and autumn, mild winters and reduced snowfall.""",Meriggi 1996,Eastern Northern Apennines,ENA,11.79114,43.95001,NR,1990,1992,130,Eastern Northern Apennines,Italy,PA1211,11,PA,12,MEI96ENA,PA,12,"Mediterranean Forests, Woodlands & Scrub",PA12,81211,795,795,WEE,MED,PA19,,NR,NR,NR,NR,NR,NR,NR,550,1660,550-1660,,,15,2,,NR,"Species should still be considered endangered due to population fragmentation and low genetic diversity. 15 wolves total, 2 packs and some single ind","""high availability of wild ungulates"". Cattle and sheep and goat",5,"Roe deer, Wild boar, Fallow deer, Red deer, Mouflon",No,NR,NR,NR,NR,NR,,,,,,,
"Study area= 39.5% woods, 29.4% scrublands, 17.1% cultivated fields, 13.7% pastures.  ""In the area there were small and interspersed villages, with large portions of uninhabited land due to depopulation of the mountain areas (human population density: 19 individuals per km2)."" ""The use of livestock was limited, and even more limited was the use of other categories such as small mammals, medium-sized mammals and fruits; consequently, the diet showed a low breadth."" "" In addition, the abundance of livestock and farming methods differ greatly from the Alps to the Apennines and in different parts of the Apennines, creating great variability in the availability of livestock in Italy and, consequently, in the trophic habits of the wolf (ISTAT 2003).""",Meriggi 2015,Emilia Romagna and Lombardy Regions,ERL,9.33898,44.75116,"44°46ʹ17.40ʹʹN, 9°23ʹ11.04ʹʹE",2007,2012,927.3,Western Northern Apennines,Italy,PA1211,11,PA,12,MEI15ERL,PA,12,"Mediterranean Forests, Woodlands & Scrub",PA12,81211,795,795,WEE,MED,PA19,,9,1 (January),18 (July),950,NR,NR,NR,500,1700,500-1700,,,,5,,4.8,"In the 1970's, only 100 wolves in italy and only present in two remote areas of south central appenines. Legal protections led to wolves recolonizing the study area in the late 1980's. ""Wolves colonized the area in the late 1980s (the first wolf was illegally killed in 1987), when the wild ungulate guild was composed mainly by wild boars (600 individuals shot per year), while roe deer was beginning to colonise the area; fallow deer was present in a few sites, and red deer was absent. At that time, the occurrence of wild ungulates in the wolf diet was 19.4% (wild boar 17.1%, roe deer 0.8% and fallow deer 1.6%) and that of livestock was 25.6%. Other important food categories in the wolf diet were vegetables (59.7%), small mammals (26.4%), invertebrates (23.3%) and medium-sized mammals (10.1%), the sum of the percentage frequencies exceeding 100 because of the contemporary occurrence of more than one category in the same sample (MERIGGI et al. 1991, 1996; MILANESI et al. 2012). Wolves are present in the study area with five main packs of 4.8 (SD = 2.17) individuals on average, and a small number of lone wolves estimated by snow-tracking, wolf-howling and camera-trapping. Legal control of wolves is not practiced in the study area; however, 4–6 wolves were illegally killed between 2005 and 2012.""","""Livestock (cattle, goats, sheep and horses) was free-grazing from April to October with births occurring on the pastures and inspected one time per week. The main productive aim was meat production."" ""Prevention methods such as the presence of large shepherd dogs, adequate fences, anti-wolf fences and regular surveillance of pastures are rarely adopted but have been increasing in the last 2 years.""",4,"Red deer, fallow deer, roe deer, wild boar",Unclear,NR,NR,NR,NR,NR,,,,,,,
,Messier 1985,Area H,QAH,-77.01157,47.36215,NR,1980,1984,13615,Quebec,Canada,NA0406,6,NA,4,MER85QAH,NA,4,Temperate Broadleaf & Mixed Forests,NA04,50406,333,333,NOA,NAF,NA11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Messier 1985,Area L,QAL,-75.93153,47.05804,NR,1980,1984,1185,Quebec,Canada,NA0406,6,NA,4,MER85QAL,NA,4,Temperate Broadleaf & Mixed Forests,NA04,50406,333,333,NOA,NAF,NA11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Messier 1985,Area M,LKS,-76.41542,46.46672,NR,1980,1984,2390,Quebec,Canada,NA0406,6,NA,4,MER85LKS,NA,4,Temperate Broadleaf & Mixed Forests,NA04,50406,333,333,NOA,NAF,NA11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
for sheet 5.1 only,Metz 2012,Yellowstone National Park-Northern Range,YNP-N,-110.50740,44.99228,,1995,2009,1530,Wyoming,USA,NA0528,28,NA,5,MEZ12YNP-N,NA,5,Temperate Conifer Forests,NA05,50528,367,367,NOA,AMW,NA13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roztocze has heavily fragmented forest interspersed with large agriculture areas and villages. Solska forest is compact forest. Beavers present but relatively low. Free ranging domestic dogs are bundant in natural habitats across Poland. Lynx here prey almost exclusively on roe deer (Author cites another one of their papers),Mysłajek 2022,Roztocze and Solska Forest,RAS,23.04766,50.468,"central point= 50°30′N, 23°00′N",2017,2020,1300,South-east Poland,Poland,PA0412,12,PA,4,MYK22RAS,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80412,654,654,WEE,GEM,PA12,Roztocze National Park (84.8 km^2) and multiple Natura 2000 special areas of conservation,NR,-2.9,19.1,691,NR,NR,NR,NR,390,390 max,,,NR,5,,NR,"Present in the region throughout the second half of the 20th century. Heavily persecuted, then protected in Poland in 1998. At least 5 wolf family groups recorded in area at the beggining of the 21rst century. Wolf territories spanned both Roztocze and the Solska Forest (so the areas were considered as one). Part of the baltic subpopulation of wolves.","""During vegetation season, cattle, horses and sheep are grazed on pastures surrounding forest tracks, especially in the Roztocze region (Dziaducha 2021). Furthermore, the Roztocze National Park supports small herds of heritage breeds of horses, cattle and sheep (altogether ca. 120 individuals) grazed on pasture inside the park.""",5,"Moose, roe deer, red deer, wild boar, fallow deer",Yes,2,0?,,2,"Eurasian lynx (Lynx lynx), Red fox (Vulpes vulpes)",,,,,,,
,Mysłajek 2019,Drawa Forest,DRF,16.03751,53.14235,"54°02'56""N, 23°04'20""E",2017,2017,269,,Poland,PA0405,5,PA,4,MYS19DRF,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80405,647,654,WEE,GEM,PA10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mysłajek 2018,Wigry NP,AGF,23.11439,54.0263,"53º24`–52º50`N, 15º34`–16º33`E",2010,2015,2500,north-western Poland,Poland,PA0412,12,PA,4,MYS18AGF,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80412,654,654,WEE,GEM,PA12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nelson 2016,Greater Yellowstone Ecosystem,GYE,-109.59807,44.75371,NR,2007,2010,None given ,,USA,NA0528,28,NA,5,NEN16GYE,NA,5,Temperate Conifer Forests,NA05,50528,367,367,NOA,AMW,NA13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nowak 2005,Carpathian Mountains,CPM,19.10737,49.7234,"49°23’–49°53’ N, 18°45’–19°48’ E",1997,2001,745,,Poland,PA0504,4,PA,5,NOK05CPM,PA,5,Temperate Conifer Forests,PA05,80504,692,692,WEE,EMF,PA14,Only 1% of forests are protected and located in a few nature reserves,,-3 - -6 (Jan),12 - 16 (July),,,,80-160 days,300,1557,300-1557,,,,,,,Wolves are protected in Poland but there is a 2 month hunting season in winter in slovakia,"""There are some agriculture and livestock farms, where small sheep and goat flocks are an important source of income""",,,,2,1,Brown bear (Ursus arctos),1,Lynx (Lynx lynx),,,,,,,
Mouflon and Fallow deer were introduced for game hunting but are present at low densitites (Mouflons were said to be present but not reported in diet or as a % of the species community),Nowak 2011,Bydgoszcz Forest,BYD,18.31349,52.98677,"N 52°50'–53°07', E 17°41'–18°45'",2002,2009,640,Central Poland,Poland,PA0412,12,PA,4,NOK11BYD,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80412,654,654,WEE,GEM,PA12,,8.4,-2.7,18.2,NR,525,NR,50-80 days ,NR,116,116(highest)-?,,,,1 or 2,,<5-7,"Protected since 1998 in Poland. Permanent wolf presence since 2004. ""During the study period in each of our study sites only one, or eventually two resident wolf packs were present.""",Livestock in agricultural areas around the forest,5,"Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa), Fallow deer (Dama dama), Mouflon (Ovis gmelinii)",Yes,1,0,0,1,Red fox (Vulpes vulpes),,,,,,,
"Mouflon and Fallow deer were introduced for game hunting but are present at low densitites (Mouflons were said to be present but not reported in diet or as a % of the species community).  ""vegetation season length is 200-213 days"" is this the opposite of snow period? (ie. snow period would be 152-165 days?)",Nowak 2011,Wałcz Forest,WLF,16.64616,53.56762,"N 53°03'–53°38', E 16°04'–16°56'",2002,2009,1000,North West Poland,Poland,PA0405,5,PA,4,NOK11WLF,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80405,647,647,WEE,GEM,PA10,,8.1,NR,,NR,520,NR,see notes,100,205,100-205,,,,1 or 2,,5-7,"Protected since 1998 in Poland. Recolonized in 2002. ""During the study period in each of our study sites only one, or eventually two resident wolf packs were present.""",Livestock in agricultural areas around the forest,5,"Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa), Fallow deer (Dama dama), Mouflon (Ovis gmelinii)",Yes,1,0,0,1,Red fox (Vulpes vulpes),,,,,,,
"Mouflon and Fallow deer were introduced for game hunting but are present at low densitites (Mouflons were said to be present but not reported in diet or as a % of the species community).   ""vegetation season length is 230-260 days""",Nowak 2011,Rzepin Forest,RZF,15.01472,52.23239,"N 52°02'-52°21', E 14°35'-15°28'",2002,2009,950,West Poland,Poland,PA0412,12,PA,4,NOK11RZF,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80412,654,654,WEE,GEM,PA12,,8.3,see notes,see notes,NR,550,NR,see notes,NR,106,106 (highest),,,,1 or 2,,5-7,"Protected since 1998 in Poland. Resident wolves since 2004. ""During the study period in each of our study sites only one, or eventually two resident wolf packs were present.""",Livestock in agricultural areas around and within the forest,5,"Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa), Fallow deer (Dama dama), Mouflon (Ovis gmelinii)",Yes,1,0,0,1,Red fox (Vulpes vulpes),,,,,,,
"Mouflon and Fallow deer were introduced for game hunting but are present at low densitites (Mouflons were said to be present but not reported in diet or as a % of the species community). ""vegetation season length is 220 days""",Nowak 2011,Lower Silesian Forest,LSF,15.33486,51.42273,"N 51°14'-51°37', E 14°44'-15°54'",2002,2009,1700,West Poland,Poland,PA0412,12,PA,4,NOK11LSF,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80412,654,654,WEE,GEM,PA12,,8,see notes,see notes,NR,520-700,NR,see notes,107,235,107-235,,,,1 or 2,,<5-7,"Protected since 1998 in Poland. Individual wolves since 2001, first resident pack established 2007. ""During the study period in each of our study sites only one, or eventually two resident wolf packs were present.""",Livestock in agricultural areas around and within the forest,5,"Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa), Fallow deer (Dama dama), Mouflon (Ovis gmelinii)",Yes,1,0,0,1,Red fox (Vulpes vulpes),,,,,,,
,Olsson 1997,South-central Scandinavia,SCA,12.83206,60.50094,"core= 60°30'N , 12°50'E",1985,1992,600?,Scandinavia,Norway and Sweden,PA0806,6,PA,8,OLN97SCA,PA,6,Boreal Forests/Taiga,PA08,80608,717,717,SUE,SWB,PA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Orazi 2024,GPNP,GPN,7.37015,45.48764,NR,Oct 2018 and Oct 2021,Sept 2020 and Sept 2022,336,Western Italian Alps,Italy,PA0501,1,PA,5,ORI24GPN,PA,5,Temperate Conifer Forests,PA05,80501,689,689,WEE,EMF,PA13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pal 2022,Gangotri National park,GNP,79.11815,31.20043,"31°00'44.1""–31°27' 06.26"" latitudes and 78°53'39""–79°15"" E longitude",June 2015,July 2019,1360,Uttarakhand,India,PA1012,12,PA,10,PAL22GNP,PA,10,Montane Grasslands & Shrublands,PA10,81021,769,769,EAE,TIP,PA41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Petridou 2019,Central Continental Greece,CCG,22.17873,39.05516,,2010,2012,612,,Greece,PA1201,1,PA,12,PEU19CCG,PA,12,"Mediterranean Forests, Woodlands & Scrub",PA12,81201,785,785,WEE,MED,PA18,,,,,,,,,,,,,0.02450980392,15,2,NR,NR,15 indivuals belonging to 2 packs,,2,"Wild boar, roe deer",,NR,NR,NR,NR,NR,,,,,,,
,Petroelje 2021,Upper Michigan Penninsula,UMP,-88.1989,46.35151,"46.27°, −88.23°",2013,2015,1000,Michigan,USA,NA0416,16,NA,4,PEE21UMP,NA,4,Temperate Broadleaf & Mixed Forests,NA04,50416,344,344,NOA,NAF,NA11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.24 black bear per km^2,Popp 2018,Great Lakes Region,GLR,-80.82448,46.29197,"46° 20′30″N, 80° 50′ 30″W–46° 11′ 30″N, 80° 50′ 00″W",2013,2015,450,"Burwash region, Ontario ",Canada,NA0406,6,NA,4,POP18GLR,NA,4,Temperate Broadleaf & Mixed Forests,NA04,50406,333,333,NOA,NAF,NA11,NR,NR,-12.5 (January mean),15 (July mean),NR,NR,average depth= 28cm (Dec-Feb),unclear,NR,300,max 300,0.2-0.3,,NR,NR,,NR,Wolves frequently hybridize with coyotes or other wolf-coyotes hybrids. 0.2-0.3km^2 wolves/hybrids,No mention,3,"Elk (Cervus elaphus), Moose (Alces alces), white-tailed deer (Odocoileus virginianus)",Yes,2,1,Black bear (Ursus americanus),1,coyotes (Canis latrans),,,,,,,
,Potvin 1988,Lake Stubbs,LKS,-76.40710,46.2163,NR,1974,1976,500,Laurentide Quebec,Canada,NA0406,6,NA,4,PON88LKS,NA,4,Temperate Broadleaf & Mixed Forests,NA04,50406,333,333,NOA,NAF,NA11,,,-18,,,,274 (avg 62 days with depths >50 cm),,225,450,225-375 (occasionally exceeds 450),,,5-10,,,,1-2 wolves/100km2,,,,,,,,,,,,,,,,
,Potvin 1988,Papineau-Labelle reserve,PLR,-75.21715,46.11183,NR,1980,1984,2500,Laurentide Quebec,Canada,NA0406,6,NA,4,PON88PLR,NA,4,Temperate Broadleaf & Mixed Forests,NA04,50406,333,333,NOA,NAF,NA11,,,,,,,274 (avg 62 days with depths >50 cm),,225,450,225-375 (occasionally exceeds 450),,,70,10,,,2.8/100km2,,,,,,,,,,,,,,,,
,Sand 2016,South-central Scandinavia,SCA,14.83519,60.28098,"58˚50'-61˚40'N, 11˚00'-18˚40' E",2001,2014,164-1475 (mean= 766.27),Scandinavia,Norway and Sweden,PA0608,8,PA,6,SAD16SCA,PA,6,Boreal Forests/Taiga,PA06,80608,717,717,SUE,SWB,PA8,,,-5,15,NR,NR,28.3 (2SE = +/- 9.1),NR,NR,NR,NR,need to calc for,need to calc for,92 in 2001 to 400 in 2014,17,2-9,4.35,"""average wolf population size increased from 92 (range 87–97, total count) to 400 (95% CI: 316–520) individuals"". Beavers, hare, grousse, and capercaillie present but make up low amounts of ingested wolf biomass. ""A risk-aversive strategy among Scandinavian wolves is further supported by the strong preference for young-of-the-year when preying on moose""",None,6,"Moose (Alces alces), Roe deer, Red deer (not widely available), Fallow deer (not widely available), wild boar (not widely available), semi-domestic reindeer (not widely available)",Yes,3,1,Brown bear (Ursus arctos),2,"Lynx (Lynx lynx), Wolverine (Gulo gulo)",,,,,,,
,Sears 2003,Frontenac Axis Region,FAR,-77.00310,45.16057,"45°15'N, 77° W",1996,1998,1365,Ontario ,Canada,NA0406,6,NA,4,SES03FAR,NA,4,Temperate Broadleaf & Mixed Forests,NA04,50406,333,333,NOA,NAF,NA11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shrotriya 2022,Ladakh and Spiti Trans-Himalayan Regions ,LSH,77.68098,33.62465,"31°30'-35°12' N, 76°-79° E",2014,2018,60356,,India,PA1006,6,PA,10,SHA22LSH,PA,10,Montane Grasslands & Shrublands,PA10,81006,754,754,EAE,TIP,PA41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""The study period (1990-2000) was characterised by profound political changes and economical regress. This situation favoured uncontrolled exploitation of wild ungulates, which led to their fast, many-fold decline."" 78% is natural habitat, man transformed (field, pastures, meadow, human settlements, roads) covers 22-31%, dry meadows are 16% of whole region and 73% of the agricultural land. ""Though we have no precise data on ungulate hunting quotas and poaching intensity, the information obtained by interviewing the local hunters as well as our observations on the remnants of the poached moose and wild boar in the study area allowed us to roughly estimate that, since 1992, the killing rate of ungulates by humans could have increased 5 to 10-fold in comparison with earlier years and it remained heavy until 1995.""­",Sidorovich 2003,Lovat River,LVR,30.35036,55.72532,"55°45’N, 30°20'E",1990,2000,800,"Gorodok district, Vitebsk region",Belarus,PA0436,36,PA,4,SIH03LVR,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80436,679,679,WEE,GEM,PA11,,,-6 (mean jan),18 (mean july),,,3max depth 30-90,"1.5-2 months of constant snow, snow period Late oct-mid april.",100,200,100-200,0.005-0.036,0.0175,4-29,NR,NR,NR,"""In the early 1990s, wolves were relieved from heavy control but few years later, when heavy damage to livestock caused complaints from farmers, hunting on wolves intensified"". Table 1 has wolf density by year","""The majority of these villages were small (5-26 houses and 9-67 inhabitants), but two were fairly large (49 and 84 houses, 147 and 242 inhabitants). Farmers mostly kept cows, pigs, hens, dogs and cats, whereas horses, sheep and geese were less common. Two collective farms ('kolkhoz') operated in the two large villages, and they had many cows (110 and 280), pigs (50 and 120), and horses (15 and 40).""",3,"Moose (Alces alces), roe deer (Capreolus capreolus), wild boar (Sus scrofa)",Yes,2,1,Brown bear (Ursus arctos),1,Lynx (Lynx lynx),,,,,,,
,Sidorovich 2017,Naliboki Forest,NBF,26.34279,53.85413,"53°55'N, 26°20'E",1999,2014,2750,Central-western Belarus,Belarus,PA0412,12,PA,4,SIH17NBF,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80412,654,654,WEE,GEM,PA12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wild cat is very close to fox size. Include in pred? Habitat cover is 53% mixed forest, 28% conifer forest, 11% broad leaf forest, 7% pasture and natural grasslands, 1% agricultue. Snow cover lasts 62-170 days depending on altitude. Average snow depth from Jan-Feb is 51cm. ""However, since the fall of the communist regime in the late 1980s, the ecological integrity of these forests decreased continuously under the pressure of inefficiently controlled grazing and increasing tourism activities as well as recent changes in land ownership and forestry practices""",Sin 2019,South-Eastern Romanian Carpathians,SRC,26.47557,45.89229,"N 45.915, E 26.502",2013,2014,600,Carpathian Mountains,Romania,PA0504,4,PA,5,SIN19SRC,PA,5,Temperate Conifer Forests,PA05,80504,692,692,WEE,EMF,PA14,"No - hunting of ungulates and carnivores to quotas, year-round logging, grazing from may-sept",NR,NR,NR,NR,NR,51,62-170 days ,491,1785,491-1785,NK,NK,NK,NK,NK,NK,"No reliable estimates of wolf pack numbers. Romanian wolf pop is one of the largest in Europe. Wolves never disappeared from Romania, so traditional sheperd practices and livestock protection have remained the same.","Yes, abundant",4,"Red deer, roe deer, wild boar, chamois",UK,4,1,Brown bear (Ursus arctos),3,"Fox (Vulpes vulpes), european lynx (Lynx lynx), wildcat (Felis silvestris)",,,,,,,
,Śmietana 2005,Bieszczady Mountains,BZM,22.62551,49.16447,49°00’–18’N 22°25’–54’E,1991,2002,600,Carpathians,Poland,PA0504,4,PA,5,SMA05BZM,PA,5,Temperate Conifer Forests,PA05,80504,692,692,WEE,EMF,PA14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Other ungulates available to wolves, such as elk (Cervus elaphus), deer (Odocoileus spp.), mountain sheep (Ovis spp.), and mountain goats (Oreamnos americanus) are uncommon.""",Steenweg 2015,Parsnip River study area (PRSA),PRR,-121.75098,55.00142,55° N 122 °W,2008,2009,NR,British Columbia,Canada,NA0509,9,NA,5,STG15PRR,NA,5,Temperate Conifer Forests,NA05,50509,350,350,NOA,AMW,NA13,"No, 25% has been harvested for timber",,,,,,,,600,1650,600-1650,,,35,7,,,Approximately 35 wolves across 7 packs,,6,"Moose (Alces americanus), mountain caribou (Rangifer tarandus caribou), elk (Cervus elaphus), deer (Odocoileus spp.), mountain sheep (Ovis spp.), mountain goats (Oreamnos americanus)",Yes,6,3,"Grizzly bear (Ursus arctos), Black bear (Ursus americanus), Cougars (Puma concolor)",3,"Lynx (Lynx lynx), wolverine (Gulo gulo), coyotes (Canis latrans)",,,,,,,
"From Hoy 2021: ""Wolf abundance was estimated each MarcheApril from counts of adults and 11-month-old pups. Wolf abundance fluctuated between 40 and 106 wolves, with an average pack size of 10-11 wolves, during the study period (Smith & Bangs, 2009).""",Tallian 2017,Yellowstone National Park Winter Range,YNP-P,-110.40080,44.92561,,1995,2015,995,Wyoming,USA,NA0528,28,NA,5,TAN17YNP-P,NA,5,Temperate Conifer Forests,NA05,50528,367,367,NOA,AMW,NA13,,,,,,,,,1500,2600,1500-2600,0.0402-0.1065,NR,40-106,see notes,NR,11,"3 to 5 wolf packs followed during a given biannual follow. Over the 20 years, 30 packs inhabited study area, 18 were intensively monitored. Number of individuals per pack not given. From Hoy 2021: ""Wolf abundance was estimated each March-April from counts of adults and 11-month-old pups. Wolf abundance fluctuated between 40 and 106 wolves, with an average pack size of 10-11 wolves, during the study period (Smith & Bangs, 2009).""",,6,"elk and bison, deer (Odocoileus spp.), bighorn sheep (Ovis canadensis), moose (Alces alces) and pronghorn (Antilocapra americana) ",,,,,,,,,,,,,
