Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Scat_n_Tot,Scat_n_Prey,Abs_FO,Rel_FO,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,BM_Equiv,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,Timepoint,Period,Cons_Season,A_C_Code,A_Code,Avail_Season,n_Avail_Season_Points,C_Code,n_C_Points,Study_Code,Area_Code,n_Prey_Species,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n,Pop_Scale
,Tiralla 2021,Khonin Nuga,450,Siberian musk deer,Moschus moschiferus,Moschus moschiferus,45,,,0.1,,,13.3,,,137,6,4.4,,,,0.024,,Wild,less risky to attack than the large livestock (horse and cattle) free-roaming in the area,,,,,2008-2012,MYR,,CNT,E,E,T + SNOW,4,TIA21KNN,KNN,5,UK,UK,UK,POP
,Tiralla 2021,Khonin Nuga,450,Moose,Alces alces,Alces alces,23,,,0.05,,,481,,,137,10,7,,,,0.008,,Wild,less risky to attack than the large livestock (horse and cattle) free-roaming in the area,,,,,2008-2012,MYR,,CNT,E,E,T + SNOW,4,TIA21KNN,KNN,5,UK,UK,UK,POP
,van Duyne 2009,HNP,506,Cow,,Bos taurus,,,,,400,"based on literature, herdsman and HNP biologists (no further details given)",613,,,236,,,,,,,,Livestock,,,Herdsmen set traps around carcasses thus wolves rarely return to livestock kills (little to no livestock scavenging).,,,2003-2005,,,,,,,,VAE09HNP,HNP,8,2,0,2,
,van Duyne 2009,HNP,506,Domestic horse,,Equus caballus,,,,,226,"based on literature, herdsman and HNP biologists (no further details given)",400,,,236,,,,,,,,Livestock,,,"Herdsmen set traps around carcasses thus wolves rarely return to livestock kills (little to no livestock scavenging). Free range, unguarded.",,,2003-2005,,,,,,,,VAE09HNP,HNP,8,2,0,2,
,van Duyne 2009,HNP,506,Goat,,Capra hircus,,,,,30,"based on literature, herdsman and HNP biologists (no further details given)",46.9,,,236,,,,,,,,Livestock,,,Herdsmen set traps around carcasses thus wolves rarely return to livestock kills (little to no livestock scavenging). Sheeps and goats herded in large groups. Does not sound like dogs are often used to guard livestock or that they are not actual livestock-guarding dogs (but its unclear),,,2003-2005,,,,,,,,VAE09HNP,HNP,8,2,0,2,
,van Duyne 2009,HNP,506,Sheep,,Ovis aries,,,,,40,"based on literature, herdsman and HNP biologists (no further details given)",34.2,,,236,,,,,,,,Livestock,,,Herdsmen set traps around carcasses thus wolves rarely return to livestock kills (little to no livestock scavenging). Sheeps and goats herded in large groups. Does not sound like dogs are often used to guard livestock or that they are not actual livestock-guarding dogs (but its unclear),,,2003-2005,,,,,,,,VAE09HNP,HNP,8,2,0,2,
,van Duyne 2009,HNP,506,Red deer,Cervus elaphus,Cervus elaphus,355,,,,112,"based on literature, herdsman and HNP biologists (no further details given)",240,,,236,,,,,,,,Wild,,,"Preferred habitat is small grassland patches near or within closed forest (i.e., ridges, natural openings, or marginsbetween forest and unplanted hill grounds) but might move into the woods for protective cover (cited in paper as external source, not necessarialy observed here)",,,2003-2005,,,,,,,,VAE09HNP,HNP,8,2,0,2,
,van Duyne 2009,HNP,506,Hare,Lepus tolai,Lepus tolai,,,,,2,"based on literature, herdsman and HNP biologists (no further details given)",1.59,,,236,,,,,,,,Wild,,,,,,2003-2005,,,,,,,,VAE09HNP,HNP,8,2,0,2,
not in PanTheria,van Duyne 2009,HNP,506,Marmot,Marmota sibirica,Marmota sibirica,8486,,,,6,"based on literature, herdsman and HNP biologists (no further details given)",6,,,236,,,,,,,,Wild,,,Hibernate from sept-march,,,2003-2005,,,,,,,,VAE09HNP,HNP,8,2,0,2,
not in PanTheria,van Duyne 2009,HNP,506,Przewalski horse,Equus ferus przewalskii,Equus przewalskii,182,,,,"257, 38 (foals)","based on literature, herdsman and HNP biologists (no further details given)",400,,,236,,,,,,,,Wild,,,Prefer higher elevations closer to forests for resting,,,2003-2005,,,,,,,,VAE09HNP,HNP,8,2,0,2,
,Vos 2000,Arada Mountain Range,130,Goat,Capra hircus,Capra hircus,5764,,,44.3,,,46.9,,,41,40,97.5,,97.5,,,,Livestock,,,"Let out to graze at dawn and brought back every evening. Spread all over mountains, do not stay together. Herded by 1-3 sheperds and 1 or 2 small mongrel dogs (not real livestock guardian dogs). Herd sizes over 200 goats are impossible to effectively protect against wolf predation.",,,April-Oct 1996,SSS,C,FARM,U,1,T,1,VOS00AMR,AMR,3,UK,UK,UK,PACK
,Vos 2000,Arada Mountain Range,130,Sheep,Ovis aries,Ovis aries,257,,,2,,,34.2,,,41,0,0,,0,,,,Livestock,,,"Stay close to village, may be killed (as reported in livestock loss reports) but not consumed because shepards scared them away.",,,April-Oct 1996,SSS,C,FARM,U,1,T,1,VOS00AMR,AMR,3,UK,UK,UK,PACK
,Vos 2000,Arada Mountain Range,130,Cattle,Bos taurus,Bos taurus,280,,,2.2,,,613,,,41,0,0,,0,,,,Livestock,,,Ability to protect themselves and their offspring,,,April-Oct 1996,SSS,C,FARM,U,1,T,1,VOS00AMR,AMR,3,UK,UK,UK,PACK
,Vos 2000,Peneda-Gerês National Park,240,Goat,Capra hircus,Capra hircus,7207,,,30,,,46.9,,,46,27,58.7,,60,,,,Livestock,,,Graze year-round with little guarding,,,April-Oct 1996,SSS,C,FARM,U,1,T,1,VOS00PNG,PNG,4,UK,UK,UK,PACK
,Vos 2000,Peneda-Gerês National Park,240,Garrano horses,Equus caballus,Equus caballus,895,,,3.7,,,400,,,46,19,41.3,,38.3,,,,Livestock,,,Graze year-round with little guarding. Stay in pasture night and day. In summer horse foals are easy prey,,,April-Oct 1996,SSS,C,FARM,U,1,T,1,VOS00PNG,PNG,4,UK,UK,UK,PACK
,Vos 2000,Peneda-Gerês National Park,240,Sheep,Ovis aries,Ovis aries,2200,,,9.2,,,34.2,,,46,0,0,,0,,,,Livestock,,,"Graze year-round with little guarding. Stay close to village, may be killed (as reported in livestock loss reports) but not consumed because shepards scared them away.",,,April-Oct 1996,SSS,C,FARM,U,1,T,1,VOS00PNG,PNG,4,UK,UK,UK,PACK
,Vos 2000,Peneda-Gerês National Park,240,Cattle,Bos taurus,Bos taurus,1323,,,5.5,,,613,,,46,0,0,,0,,,,Livestock,,,Graze year-round with little guarding. Ability to protect themselves and their offspring,,,April-Oct 1996,SSS,C,FARM,U,1,T,1,VOS00PNG,PNG,4,UK,UK,UK,PACK
"also has ""relative proportions eaten"" which may be mean percent volume? yak/cow = yaks, cows, and jhoppa (yak-cow hybrid)",Werhahn 2019,Humla,384,Yak/Cow,Bos grunniens / Bos grunniens-Bos taurus,Bos grunniens,1885,,,4.91,237.5,Calculated for ,556.5,1166.13,0.6273,69,10,14.3,1,,,0.173,,Livestock,Semi-guarded,,Small herds ,,,2015 Summer,SSU,D,CNT,SSU,1,U,1,WEN19HUM,HUM,5,5,2,3,POP
,Werhahn 2019,Humla,384,Horse/Mule,Equus ferus caballus,Equus caballus,261,,,0.68,350.5,Calculated for ,400,238.35,0.1282,69,0,0,0,,,0,,Livestock,Unguarded,,Small herds ,,,2015 Summer,SSU,D,CNT,SSU,1,U,1,WEN19HUM,HUM,5,5,2,3,POP
,Werhahn 2019,Humla,384,Goat,Capra hircus,Capra hircus,576,,,1.5,27.5,Calculated for ,46.9,41.25,0.0222,69,0,0,0,,,0,,Livestock,,,Larger herds,,,2015 Summer,SSU,D,CNT,SSU,1,U,1,WEN19HUM,HUM,5,5,2,3,POP
,Werhahn 2019,Humla,384,Kiang,Equus kiang,Equus kiang,434,,,1.13,325,Calculated for ,280.00,367.25,0.1976,69,14,20,1.7,,,0.529,,Wild,,,Mass range= 250-400kg. Plains-dwelling.,,,2015 Summer,SSU,D,CNT,SSU,1,U,1,WEN19HUM,HUM,5,5,2,3,POP
,Werhahn 2019,Humla,384,Naur,Pseudois nayaur,Pseudois nayaur,319,,,0.83,55.3,Calculated for ,51.8,45.87,0.0247,69,7,10,1,,,0.052,,Wild,,,Mass range = 35-75kg. Cliff-dwelling .,,,2015 Summer,SSU,D,CNT,SSU,1,U,1,WEN19HUM,HUM,5,5,2,3,POP
"yak/cow = yaks, cows, and jhoppa (yak-cow hybrid)",Werhahn 2019,Dolpa,1088,Yak/Cow,Bos grunniens / Bos grunniens-Bos taurus,Bos grunniens,10010,,,9.2,237.5,Calculated for ,556.5,2185,0.6037,77,44,57,2.3,,,0.662,,Livestock,Semi-guarded,,Small-large herds,,,2016 Summer,SSU,D,CNT,SSU,1,U,1,WEN12DOL,DOL,4,5,2,3,POP
,Werhahn 2019,Dolpa,1088,Horse/Mule,Equus ferus caballus,Equus caballus,2307,,,2.12,350,Calculated for ,400,742,0.205,77,3,3.9,0.2,,,0.101,,Livestock,Unguarded,,Small herds ,,,2016 Summer,SSU,D,CNT,SSU,1,U,1,WEN12DOL,DOL,4,5,2,3,POP
,Werhahn 2019,Dolpa,1088,Goat,Capra hircus,Capra hircus,24045,,,22.1,27.5,Calculated for ,46.9,607.75,0.1679,77,9,11.7,0.7,,,0.022,,Livestock,Guarded,,Larger herds,,,2016 Summer,SSU,D,CNT,SSU,1,U,1,WEN12DOL,DOL,4,5,2,3,POP
,Werhahn 2019,Dolpa,1088,Naur,Pseudois nayaur,Pseudois nayaur,1676,,,1.54,55,Calculated for ,51.8,84.7,0.0234,77,19,24.7,1.7,,,0.11,,Wild,,,Mass range = 35-75kg. Cliff-dwelling .,,,2016 Summer,SSU,D,CNT,SSU,1,U,1,WEN12DOL,DOL,4,5,2,3,POP
"yak/cow = yaks, cows, and jhoppa (yak-cow hybrid)",Werhahn 2019,KCA,368,Yak/cow,Bos grunniens / Bos grunniens-Bos taurus,Bos grunniens,3128,,,8.5,237.5,Calculated for ,556.5,2018.75,0.8736,13,6,46.2,1,,,0.63,,Livestock,Semi-guarded,,Small-large herds,,,2016 Summer,SSU,D,CNT,SSU,1,U,1,WEN12KCA,KCA,4,5,2,3,POP
,Werhahn 2019,KCA,368,Horse/mule,Equus ferus caballus,Equus caballus,77,,,0.21,355,Calculated for ,400,74.55,0.0323,13,2,15.4,0.1,,,0.067,,Livestock,Unguarded,,Small herds ,,,2016 Summer,SSU,D,CNT,SSU,1,U,1,WEN12KCA,KCA,4,5,2,3,POP
,Werhahn 2019,KCA,368,Goat,Capra hircus,Capra hircus,659,,,1.79,27.5,Calculated for ,46.9,49.23,0.0213,13,0,0,0,,,0,,Livestock,Guarded,,Larger herds,,,2016 Summer,SSU,D,CNT,SSU,1,U,1,WEN12KCA,KCA,4,5,2,3,POP
,Werhahn 2019,KCA,368,Naur,Pseudois nayaur,Pseudois nayaur,1126,,,3.06,55,Calculated for ,51.8,168.3,0.0728,13,10,76.9,1.7,,,0.257,,Wild,,,Mass range = 35-75kg. Cliff-dwelling .,,,2016 Summer,SSU,D,CNT,SSU,1,U,1,WEN12KCA,KCA,4,5,2,3,POP
"yak/cow = yaks, cows, and jhoppa (yak-cow hybrid)",Werhahn 2019,Namsai,175,Yak/Cow,Bos grunniens / Bos grunniens-Bos taurus,Bos grunniens,3640,,,20.8,237.5,Calculated for ,556.5,4940,0.7909,9,,,0.6,,,0.29,,Livestock,Semi-guarded,,Small-large herds,,,2017 Summer,SSU,D,CNT,SSU,1,U,1,WEN12NAM,NAM,4,5,2,3,POP
,Werhahn 2019,Namsai,175,Naur,Pseudois nayaur,Pseudois nayaur,3325,,,19,55,Calculated for ,51.8,1045,0.1673,9,,,0.04,,,0.005,,Wild,,,Mass range = 35-75kg. Cliff-dwelling .,,,2017 Summer,SSU,D,CNT,SSU,1,U,1,WEN12NAM,NAM,4,5,2,3,POP
,Werhahn 2019,Namsai,175,White-lipped deer,Cervus albirostris,Przewalskium albirostre,277,,,1.58,165,Calculated for ,161,260.7,0.0417,9,,,0,,,0,,Wild,,,,,,2017 Summer,SSU,D,CNT,SSU,1,U,1,WEN12NAM,NAM,4,5,2,3,POP
should consider putting it as 1 ind not 0 cuz it's messing up preference calculations,Werhahn 2019,Namsai,175,Tibetan Gazelle,Procapra picticaudata,Procapra picticaudata,0,,,0,14.1,Calculated for ,23,0,0,9,,,7.6,,,0.23,,Wild,,,Mass range= 13.2-15kg. Plains-dwelling,,,2017 Summer,SSU,D,CNT,SSU,1,U,1,WEN12NAM,NAM,4,5,2,3,POP
"yak/cow = yaks, cows, and jhoppa (yak-cow hybrid)",Werhahn 2019,Zhaqing,452,Yak/Cow,Bos grunniens / Bos grunniens-Bos taurus,Bos grunniens,9402,,,20.8,237.5,Calculated for ,556.5,4940,0.9481,8,,,22.7,,,0.929,,Livestock,Semi-guarded,,Small-large herds,,,2017 Summer,SSU,D,CNT,SSU,1,U,1,WEN12ZHA,ZHA,4,5,2,3,POP
,Werhahn 2019,Zhaqing,452,White-lipped deer,Cervus albirostris,Przewalskium albirostre,344,,,0.76,165.2236842,Calculated for ,161,125.57,0.0241,8,,,0,,,0,,Wild,,,,,,2017 Summer,SSU,D,CNT,SSU,1,U,1,WEN12ZHA,ZHA,4,5,2,3,POP
,Werhahn 2019,Zhaqing,452,Tibetan gazelle,Procapra picticaudata,Procapra picticaudata,357,,,0.79,14.06329114,Calculated for ,23,11.11,0.0021,8,,,5.9,,,0.0143,,Wild,,,Mass range= 13.2-15kg. Plains-dwelling,,,2017 Summer,SSU,D,CNT,SSU,1,U,1,WEN12ZHA,ZHA,4,5,2,3,POP
,Werhahn 2019,Zhaqing,452,Naur,Pseudois nayaur,Pseudois nayaur,1098,,,2.43,55,Calculated for ,51.8,133.65,0.0257,8,,,0,,,0,,Wild,,,Mass range = 35-75kg. Cliff-dwelling .,,,2017 Summer,SSU,D,CNT,SSU,1,U,1,WEN12ZHA,ZHA,4,5,2,3,POP
